MovieID,age,smile,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
m3,33,94.7,0,0.001,0,0,0.947,0.052,0,0;
m31,21,0.1,0,0,0,0,0.001,0.996,0,0.002;
m8,17,31.7,0,0.53,0.001,0,0.317,0.151,0.001,0;
m42,18,0.2,0,0.008,0,0,0.002,0.981,0.009,0;
m8,19,0.0,0,0,0,0,0,0.999,0,0;
m43,18,97.9,0.012,0.001,0.008,0,0.979,0,0,0;
m27,19,0.0,0,0,0,0,0,1,0,0;
m17,19,0.0,0.05,0.006,0.001,0,0,0.941,0.002,0;
m29,24,100.0,0,0,0,0,1,0,0,0;
m25,18,0.0,0,0,0,0.002,0,0.192,0,0.805;
m44,22,0.0,0,0,0,0,0,0.12,0.812,0;
m40,17,0.6,0,0,0,0,0.006,0.993,0,0;
m9,19,58.9,0,0,0,0,0.589,0.411,0,0;
m35,25,7.5,0.001,0.009,0,0,0.075,0.912,0.002,0.002;
m6,18,99.0,0,0,0,0,0.990,0.005,0,0.005;
m45,19,54.0,0,0,0,0,0.889,0.455,0,0;
m16,17,0.0,0,0,0,0.224,0,0.897,0.012,0.096;
m5,33,0.0,0,0.002,0,0,0,0.994,0.003,0.001;
m10,20,5.0,0.005,0.006,0,0,0,0.417,0,0.579;
m35,19,0.0,0,0,0,0,0,1,0,0;
m46,20,56.0,0.004,0.006,0,0,0,0.432,0,0.579;
m47,17,3.4,0,0.007,0,0,0.034,0.952,0.002,0.005;
m36,18,0.0,0,0,0,0,0,0.994,0.006,0;
m11,19,56.0,0.004,0.006,0,0,0,0.432,0,0.579;
m29,19,60.0,0.004,0.006,0,0,0,0.422,0,0.579;
m34,18,0.8,0,0.093,0.003,0,0.008,0.866,0.03,0;
m49,19,0.0,0,0,0,0.001,0,0.985,0.009,0.004;
m31,19,20.0,0.004,0.006,0,0,0,0.422,0,0.868;
m7,20,0.9,0,0.001,0,0,0.009,0.991,0,0;
m35,18,59.7,0,0.001,0,0,0.597,0.402,0,0;
m34,20,20.0,0.004,0.006,0,0.006,0,0.422,0,0.952;
m36,17,0.0,0,0.001,0,0,0,0.955,0.044,0;
m36,20,10.0,0.004,0.006,0,0.026,0,0.422,0,0.952;
m20,20,100.0,0,0,0,0,1,0,0,0;
m10,18,0.0,0,0,0,0,0.044,0.801,0.100,0.055;
m3,21,76.5,0,0.002,0,0,0.765,0.233,0,0;
m3,21,92.9,0,0.003,0,0,0.929,0.068,0,0;
m13,17,31.7,0,0.005,0,0,0.317,0.676,0.002,0;
m3,21,48.1,0,0.002,0,0,0.481,0.518,0,0;
m3,20,48.6,0,0.02,0,0,0.486,0.493,0,0;
m36,17,0.0,0,0,0,0,0,0.974,0.025,0;
m3,19,0.0,0,0,0,0,0,0.998,0.001,0;
m7,17,0.1,0,0.009,0,0,0.001,0.845,0.144,0.001;
m6,19,0.3,0,0.021,0,0,0.003,0.974,0.001,0;
m5,19,0.0,0,0.003,0,0,0,0.988,0.008,0;
m1,20,42.1,0,0,0,0,0.421,0.578,0,0;
